Event_name,Location,Type,Minimum_cost
Bismil Ki Mehfil in Mumbai ,"Sapphire Ball Room, Hotel Sahara Star: Mumbai",Concerts,885
Ek Aur Roohani Shaam,Dinanath Mangeshkar Natyagruha: Vile Parle,Concerts,200
BMW Joytown 2024,Mahalaxmi Race Course: Mumbai,Concerts,3999
Sunburn Holi Weekend Ft. Marshmello - Mumbai,MMRDA Grounds: Mumbai,Concerts,999
Jo Bolta Hai Wohi Hota Hai Ft. Harsh Gujral,The Laugh Store: Vegas Mall Delhi,Stand up Comedy,799
Splendor Of Masters - Delhi,Kamani Auditorium: Delhi,Concerts,500
Sunburn Holi Weekend Ft. Marshmello - Delhi,Backyard Sports Club: Gurugram,Concerts,999
Kal Ki Chinta Nahi Karta ft. Ravi Gupta,"Studio XO Bar, Sector 29: Gurugram",Comedy Shows,499
"Jathiratnalu, A Telugu Standup Comedy show ",Just BLR: Bengaluru,Stand up Comedy,349
Ye Jo Hans Rahi Hai Duniya Ft. Rahgir Live ,"MLR Convention Centre: Whitefield, Bengaluru",Concerts,499
Sunburn Holi Weekend Ft. Marshmello - Bengaluru,Bengaluru International Exhibition Centre,Concerts,999
A Soulful Evening with Sonu Nigam,Bhartiya Mall Of Bengaluru,Concerts,1000
Uttar-Dakshin Hyderabad,Ravindra Bharathi: Hyderabad,Concerts,350
Salaam Souk Edition 5 - Ft. Lucky Ali,N Convention : Hyderabad,Concerts,249
SANAM BAND Live Concert - Hyderabad,Heart Cup Coffee: Gandipet,Music Festivals,799
 Sunitha Upadrasta - Live in concert,Shilpakala Vedika: Hyderabad,Concerts,500
Tuneland-The Music fest ft. BPraak & Vishal Mishra,"GIFT City: Gandhinagar, Gujarat",Concerts,399
Kisi Ko Batana Mat Ft. Anubhav Singh Bassi ,HK Hall: Ahmedabad,Stand up Comedy,1499
Sab Theek Ho Jayega By Ashish Bagrecha,H.K. Hall: Ahmedabad,Stand up Comedy,499
Mehfil E Sartaaj - Ahmedabad,Pandit Dindayal Upadhyay Auditorium : Ahmedabad,Concerts,1000
Sukhwinder Singh - Live In Concert (Chandigarh),Sector 34 Exibition Ground: Chandigarh,Concerts,462
Vipul Goyal - Unleashed,Punjab Arts Council: Chandigarh,Stand up Comedy,699
Realm Of A Poet - Shayar Sartaaj Live - Chandigarh,Sector 34 Exibition Ground: Chandigarh,Concerts,500
Oaksmith Live Presents Parmish Verma,Playboy Club: Chandigarh,Club Gigs,1000
Manoj & Friends-BEST of ENGLISH+TAMIL STANDUP,Club Crest: Phoenix Marketcity,Stand up Comedy,249
The International Kindness Festival 2024,Sir Mutha Venkatasubba Rao Concert Hall: Chennai,Education,FREE
Avana Nee ? -by Sunthar V ,"Medai - The Stage, Alwarpet: Chennai",Stand up Comedy,469
SO mini THINGS! - Aiyyo Shraddha World Tour 2024,Sir Mutha Venkatasubba Rao Concert Hall: Chennai,Stand up Comedy,799
BALLR Presents BISMIL KI MEHFIL X DJ CHETAS,Ballr: Pune,Club Gigs,2000
Asha @90 Woh Phir Nahi Aate,Jio World Garden: Mumbai,Concerts,2999
Pune Comedy Festival 2024,Mayfield Eva Garden: Pune,Stand up Comedy,1399
Car Club of Pune`s - Car Chronicles ,Royal Western India Turf Club : Pune,Arts and Crafts,299
Shaan Live in Kolkata,Science City Auditorium: Kolkata,Concerts,999
Splendor Of Masters - Kolkata,The Tollygunge Club: Kolkata,Concerts,750
Kisi Ko Batana Mat Ft. Anubhav Singh Bassi ,Dhono Dhanyo Auditorium: Kolkata,Stand up Comedy,999
Abhishek Upmanyu Toxic 2024,Kala Mandir Auditorium: Kolkata,Stand up Comedy,590
Gautham Govindan Live,Commons: Kochi,Stand up Comedy,299
SUNBURN RELOAD KOCHI,Crowne Plaza :Kochi,Music Festivals,799
CULTR,Bolgatty Palace and Island Resort: Kochi,Club Gigs,1299
Ed Sheeran: +–=÷× Tour,Mahalaxmi Race Course: Mumbai,Concerts,9500
